date,survey,suvrey_ID,method,depth,soak time (hours),Time_Day,reef aspect ,habitat,family,genus,species,number,time in,time out,treatment,camera
5/27/2023,MR_23,May_23-MR-D7-NOC2-T3-Red,ROV,8,,NOC2, reef flat,lagoon,NA,NA,NA,0,0.171527778,0.177777778,Red,NA
5/27/2023,MR_23,May_23-MR-D7-NOC2-T3-White,ROV,8,,NOC2, reef flat,lagoon,Hemiscylliidae,Hemiscyllium,Hemiscyllium ocellatum,1,0.188888889,0.19375,White,Right
5/26/2023,MR_23,May_23-MR-D7-DAWN-T3-Nat,DOV,8,,DAWN, reef flat,lagoon,NA,NA,NA,0,0.256944444,0.261805556,Nat,NA
5/26/2023,MR_23,May_23-MR-D7-DAWN-T3-Red,ROV,8,,DAWN, reef flat,lagoon,NA,NA,NA,0,0.268055556,0.273611111,Red,NA
5/26/2023,MR_23,May_23-MR-D7-DAWN-T3-White,ROV,8,,DAWN, reef flat,lagoon,NA,NA,NA,0,0.275694444,0.280555556,White,NA
5/26/2023,MR_23,May_23-MR-D7-DUSK-T4-Nat,DOV,20,,DUSK, reef flat,inner_reef,NA,NA,NA,0,0.744444444,0.749305556,Nat,NA
5/26/2023,MR_23,May_23-MR-D7-DUSK-T4-Red,ROV,20,,DUSK, reef flat,inner_reef,NA,NA,NA,0,0.733333333,0.7375,Red,NA
5/26/2023,MR_23,May_23-MR-D7-DUSK-T4-White,ROV,20,,DUSK, reef flat,inner_reef,NA,NA,NA,0,0.718055556,0.723611111,White,NA
5/27/2023,MR_23,May_23-MR-D8-DAWN-T4-Nat,DOV,20,,DAWN,reef wall,inner_reef,NA,NA,NA,0,0.2875,0.297222222,Nat,NA
5/27/2023,MR_23,May_23-MR-D8-DAWN-T4-Red,ROV,20,,DAWN,reef wall,inner_reef,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.263888889,0.272916667,Red,Front
5/27/2023,MR_23,May_23-MR-D8-DAWN-T4-White,ROV,20,,DAWN,reef wall,inner_reef,NA,NA,NA,0,0.276388889,0.28125,White,NA
5/27/2023,MR_23,May_23-MR-D8-DUSK-T4-Nat,DOV,20,,DUSK,reef wall,inner_reef,NA,NA,NA,0,0.7375,0.749305556,Nat,NA
5/27/2023,MR_23,May_23-MR-D8-DUSK-T4-Red,ROV,20,,DUSK,reef wall,inner_reef,NA,NA,NA,0,0.729166667,0.734027778,Red,NA
5/28/2023,MR_23,May_23-MR-D9-DAWN-T4-Nat,DOV,20,,DAWN,reef wall,inner_reef,NA,NA,NA,0,0.284722222,0.291666667,Nat,NA
5/28/2023,MR_23,May_23-MR-D9-DAWN-T4-Red,ROV,20,,DAWN,reef wall,inner_reef,NA,NA,NA,0,0.269444444,0.275694444,Red,NA
